workerid,proliferate.condition,scenario_order,error
1009,control,balloon,
1009,control,drum,
1014,control,balloon,
1014,control,drum,
866,control,balloon,
866,control,drum,
864,control,drum,
864,control,balloon,
981,control,drum,
981,control,balloon,
1046,control,balloon,
1046,control,drum,
870,control,balloon,
870,control,drum,
938,control,drum,
938,control,balloon,
1011,control,drum,
1011,control,balloon,
876,control,drum,
876,control,balloon,
905,control,drum,
905,control,balloon,
888,control,drum,
888,control,balloon,
961,experimental,balloon,
961,experimental,drum,
927,experimental,drum,
927,experimental,balloon,
1000,experimental,drum,
1000,experimental,balloon,
1022,experimental,balloon,
1022,experimental,drum,
976,experimental,drum,
976,experimental,balloon,
873,experimental,drum,
873,experimental,balloon,
911,experimental,drum,
911,experimental,balloon,
902,experimental,balloon,
902,experimental,drum,
1041,experimental,balloon,
1041,experimental,drum,
1043,experimental,balloon,
1043,experimental,drum,
917,experimental,balloon,
917,experimental,drum,
1020,experimental,drum,
1020,experimental,balloon,
896,experimental,balloon,
896,experimental,drum,
863,experimental,drum,
863,experimental,balloon,
1312,experimental,drum,
1312,experimental,balloon,
904,experimental,drum,
904,experimental,balloon,
998,experimental,balloon,
998,experimental,drum,
1068,experimental,balloon,
1068,experimental,drum,
854,experimental,drum,
854,experimental,balloon,
921,experimental,balloon,
921,experimental,drum,
992,experimental,balloon,
992,experimental,drum,
923,experimental,balloon,
923,experimental,drum,
947,experimental,drum,
947,experimental,balloon,
978,experimental,drum,
978,experimental,balloon,
943,experimental,balloon,
943,experimental,drum,
1055,experimental,balloon,
1055,experimental,drum,
994,experimental,balloon,
994,experimental,drum,
906,experimental,balloon,
906,experimental,drum,
1002,experimental,drum,
1002,experimental,balloon,
1280,experimental,balloon,
1280,experimental,drum,
1036,experimental,balloon,
1036,experimental,drum,
996,experimental,drum,
996,experimental,balloon,
965,experimental,balloon,
965,experimental,drum,
852,experimental,drum,
852,experimental,balloon,
1012,experimental,balloon,
1012,experimental,drum,
1008,experimental,balloon,
1008,experimental,drum,
883,experimental,drum,
883,experimental,balloon,
856,experimental,balloon,
856,experimental,drum,
951,experimental,drum,
951,experimental,balloon,
898,experimental,drum,
898,experimental,balloon,
877,experimental,drum,
877,experimental,balloon,
1024,experimental,drum,
1024,experimental,balloon,
959,experimental,drum,
959,experimental,balloon,
1004,experimental,balloon,
1004,experimental,drum,
913,experimental,drum,
913,experimental,balloon,
937,experimental,balloon,
937,experimental,drum,
1310,experimental,balloon,
1310,experimental,drum,
1079,experimental,balloon,
1079,experimental,drum,
967,experimental,drum,
967,experimental,balloon,
957,experimental,drum,
957,experimental,balloon,
945,experimental,balloon,
945,experimental,drum,
934,experimental,drum,
934,experimental,balloon,
1074,experimental,balloon,
1074,experimental,drum,
894,experimental,drum,
894,experimental,balloon,
1050,experimental,balloon,
1050,experimental,drum,
1033,experimental,drum,
1033,experimental,balloon,
1059,experimental,drum,
1059,experimental,balloon,
1066,experimental,drum,
1066,experimental,balloon,
953,experimental,balloon,
953,experimental,drum,
1061,experimental,balloon,
1061,experimental,drum,
1064,experimental,balloon,
1064,experimental,drum,
908,experimental,drum,
908,experimental,balloon,
869,experimental,drum,
869,experimental,balloon,
861,experimental,drum,
861,experimental,balloon,
881,experimental,drum,
881,experimental,balloon,
1226,experimental,drum,
1226,experimental,balloon,
1081,experimental,drum,
1081,experimental,balloon,
955,experimental,balloon,
955,experimental,drum,
935,experimental,balloon,
935,experimental,drum,
849,experimental,drum,
849,experimental,balloon,
1015,experimental,balloon,
1015,experimental,drum,
879,experimental,balloon,
879,experimental,drum,
859,experimental,balloon,
859,experimental,drum,
885,experimental,balloon,
885,experimental,drum,
929,experimental,balloon,
929,experimental,drum,
1010,experimental,balloon,
1010,experimental,drum,
1031,experimental,drum,
1031,experimental,balloon,
1053,experimental,balloon,
1053,experimental,drum,
1006,experimental,drum,
1006,experimental,balloon,
941,experimental,balloon,
941,experimental,drum,
900,experimental,balloon,
900,experimental,drum,
1018,experimental,drum,
1018,experimental,balloon,
925,experimental,balloon,
925,experimental,drum,
949,experimental,drum,
949,experimental,balloon,
987,experimental,drum,
987,experimental,balloon,
980,experimental,drum,
980,experimental,balloon,
939,experimental,drum,
939,experimental,balloon,
1029,experimental,drum,
1029,experimental,balloon,
892,experimental,drum,
892,experimental,balloon,
982,experimental,balloon,
982,experimental,drum,
990,experimental,balloon,
990,experimental,drum,
1048,experimental,balloon,
1048,experimental,drum,
1039,experimental,drum,
1039,experimental,balloon,
889,experimental,drum,
889,experimental,balloon,
875,experimental,balloon,
875,experimental,drum,
887,experimental,balloon,
887,experimental,drum,
963,experimental,drum,
963,experimental,balloon,
984,experimental,balloon,
984,experimental,drum,
865,experimental,balloon,
865,experimental,drum,
1026,experimental,drum,
1026,experimental,balloon,
871,experimental,balloon,
871,experimental,drum,
973,experimental,balloon,
973,experimental,drum,
